"","Site","State","SeasonYear","TOTAL","CALIDRIS","DOWITCHER","PHALAROPE","YELLOWLEGS","PLOVER","UNKLARGE","UNKMEDSMALL","AMAV","AMGP","BASA","BBPL","BBSA","BNST","DUNL","GRYE","HUGO","KILL","LBCU","LESA","LEYE","MAGO","PAGP","PESA","PIPL","REKN","REPH","RNPH","RUFF","RUTU","SAND","SEPL","SESA","SOSA","SPSA","STSA","UPSA","WATA","WESA","WHIM","WILL","WIPH","WISN","CUSA"
"1","Arapaho NWR","Colorado","Fall 2021",36,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,9,0,2,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"2","Walden Reservoir","Colorado","Fall 2021",49,0,0,0,0,0,0,0,5,0,36,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Hutton Lake NWR","Wyoming","Fall 2021",11,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Gilbert Riparian Preserve","Arizona","Fall 2022",200,0,43,0,0,0,0,0,4,0,0,0,0,88,0,5,0,17,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0
"5","Glendale Recharge Basin","Arizona","Fall 2022",256,0,67,0,0,0,0,0,3,0,1,0,0,44,0,12,0,32,0,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0
"6","Ash Creek Wildlife Area","California","Fall 2022",91,0,34,0,0,0,0,0,0,0,1,0,0,24,0,9,0,6,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
"7","Big Sage Reservoir","California","Fall 2022",9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Black Lake","California","Fall 2022",85,30,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Bridgeport Reservoir","California","Fall 2022",1224,184,134,429,19,0,0,0,187,0,0,5,0,49,0,6,0,51,0,97,0,0,0,0,0,0,0,28,0,0,0,0,0,0,7,0,0,0,28,0,0,0,0,0
"10","China Lake WTP","California","Fall 2022",426,0,5,0,0,0,0,0,19,0,0,0,0,8,0,3,0,19,0,94,0,0,0,0,0,0,0,101,0,0,0,1,0,1,2,0,0,0,38,0,1,134,0,0
